x,y,edition_count,geo_tiff_count,tile_id
61,-46,5,5,4561
61,-47,6,6,4661
61,-48,7,7,4761
61,-49,7,7,4861
61,-50,5,5,4961
61,-51,4,4,5061
61,-52,5,5,5161
61,-53,6,5,5261
61,-54,6,6,5361
61,-55,7,7,5461
61,-56,4,4,5561
61,-57,6,6,5661
61,-58,5,5,5761
61,-59,7,7,5861
61,-60,6,6,5961
61,-61,6,6,6061
61,-62,5,5,6161
61,-63,6,6,6261
61,-64,6,6,6361
61,-65,6,5,6461
61,-66,6,6,6561
61,-67,5,5,6661
61,-68,4,4,6761
61,-69,4,4,6861
61,-70,4,4,6961
61,-71,4,4,7061
62,-30,1,1,2962
62,-31,1,1,3062
62,-32,1,1,3162
62,-33,1,1,3262
62,-34,1,1,3362
62,-35,2,2,3462
62,-36,2,2,3562
62,-37,1,1,3662
62,-38,1,1,3762
62,-39,2,2,3862
62,-40,7,0,3962
62,-41,10,9,4062
62,-42,5,5,4162
62,-43,8,8,4262
62,-44,6,5,4362
62,-45,6,6,4462
62,-46,5,4,4562
62,-47,5,5,4662
62,-48,5,5,4762
62,-49,5,5,4862
62,-50,3,3,4962
62,-51,6,6,5062
62,-52,4,4,5162
62,-53,4,4,5262
62,-54,4,4,5362
62,-55,6,6,5462
62,-56,6,6,5562
62,-57,5,5,5662
62,-58,7,7,5762
62,-59,6,6,5862
62,-60,7,7,5962
62,-61,7,5,6062
62,-62,6,6,6162
62,-63,6,5,6262
62,-64,5,5,6362
62,-65,5,5,6462
62,-66,6,6,6562
62,-67,5,5,6662
62,-68,2,2,6762
62,-69,2,2,6862
62,-70,3,3,6962
62,-71,4,4,7062
62,-72,4,4,7162
62,-73,2,2,7262
63,-30,1,1,2963
63,-31,1,1,3063
63,-32,1,1,3163
63,-33,1,1,3263
63,-34,1,1,3363
63,-35,2,2,3463
63,-36,2,2,3563
63,-37,2,2,3663
63,-38,1,1,3763
63,-39,2,2,3863
63,-40,5,0,3963
63,-41,11,11,4063
63,-42,6,6,4163
63,-43,7,7,4263
63,-44,7,7,4363
63,-45,7,7,4463
63,-46,5,5,4563
63,-47,7,7,4663
63,-48,5,5,4763
63,-49,7,7,4863
63,-50,3,3,4963
63,-51,5,5,5063
63,-52,3,3,5163
63,-53,5,5,5263
63,-54,4,4,5363
63,-55,7,7,5463
63,-56,6,6,5563
63,-57,4,4,5663
63,-58,5,5,5763
63,-59,7,7,5863
63,-60,7,7,5963
63,-61,6,0,6063
63,-62,4,4,6163
63,-63,3,3,6263
63,-64,6,6,6363
63,-65,5,5,6463
63,-66,6,6,6563
63,-67,4,3,6663
63,-68,3,3,6763
63,-69,3,3,6863
63,-70,3,3,6963
63,-71,2,2,7063
63,-72,2,2,7163
63,-73,1,1,7263
63,-74,1,1,7363
63,-75,1,1,7463
63,-76,1,1,7563
63,-78,1,1,7763
63,-79,2,1,7863
64,-30,1,1,2964
64,-31,2,2,3064
64,-32,2,2,3164
64,-33,1,1,3264
64,-34,3,3,3364
64,-35,2,2,3464
64,-36,2,2,3564
64,-37,1,1,3664
64,-39,3,3,3864
64,-40,7,7,3964
64,-41,5,5,4064
64,-42,4,4,4164
64,-43,7,7,4264
64,-44,9,9,4364
64,-45,6,6,4464
64,-46,4,4,4564
64,-47,6,6,4664
64,-48,5,5,4764
64,-49,5,5,4864
64,-50,5,5,4964
64,-51,4,4,5064
64,-52,3,3,5164
64,-53,4,4,5264
64,-54,3,3,5364
64,-55,6,6,5464
64,-56,5,5,5564
64,-57,5,5,5664
64,-58,6,6,5764
64,-59,6,6,5864
64,-60,6,6,5964
64,-61,6,5,6064
64,-62,6,6,6164
64,-63,4,3,6264
64,-64,3,3,6364
64,-65,3,3,6464
64,-66,4,4,6564
64,-67,3,3,6664
64,-68,3,3,6764
64,-69,3,3,6864
64,-70,4,3,6964
64,-71,1,1,7064
64,-72,2,2,7164
64,-73,1,1,7264
65,-30,1,1,2965
65,-31,1,1,3065
65,-32,3,3,3165
65,-33,2,2,3265
65,-34,2,2,3365
65,-35,1,1,3465
65,-37,1,1,3665
65,-39,5,5,3865
65,-40,6,3,3965
65,-41,5,5,4065
65,-42,5,5,4165
65,-43,9,8,4265
65,-44,7,7,4365
65,-45,8,8,4465
65,-46,5,5,4565
65,-47,6,6,4665
65,-48,5,5,4765
65,-49,6,6,4865
65,-50,5,5,4965
65,-51,6,6,5065
65,-52,5,4,5165
65,-53,4,4,5265
65,-54,3,3,5365
65,-55,5,5,5465
65,-56,5,5,5565
65,-57,5,5,5665
65,-58,5,5,5765
65,-59,7,7,5865
65,-60,7,7,5965
65,-61,7,7,6065
65,-62,6,6,6165
65,-63,4,4,6265
65,-64,4,4,6365
65,-65,3,3,6465
65,-66,2,1,6565
65,-67,3,3,6665
65,-68,2,2,6765
66,-30,2,2,2966
66,-31,3,3,3066
66,-32,4,4,3166
66,-34,2,2,3366
66,-35,2,2,3466
66,-36,1,1,3566
66,-37,1,1,3666
66,-38,2,2,3766
66,-39,4,4,3866
66,-40,3,3,3966
66,-41,5,5,4066
66,-42,7,6,4166
66,-43,8,8,4266
66,-44,6,6,4366
66,-45,4,4,4466
66,-46,6,6,4566
66,-47,4,4,4666
66,-48,4,4,4766
66,-49,6,6,4866
66,-50,4,4,4966
66,-51,5,5,5066
66,-52,4,4,5166
66,-53,4,4,5266
66,-54,4,4,5366
66,-55,5,5,5466
66,-56,5,5,5566
66,-57,6,5,5666
66,-58,7,7,5766
66,-59,7,7,5866
66,-60,7,7,5966
66,-61,6,5,6066
66,-62,6,5,6166
66,-63,3,3,6266
66,-64,3,3,6366
66,-65,4,4,6466
66,-66,3,3,6566
66,-67,2,2,6666
66,-68,1,1,6766
66,-69,2,2,6866
67,-30,2,2,2967
67,-31,3,3,3067
67,-32,2,2,3167
67,-33,3,3,3267
67,-34,2,2,3367
67,-35,1,1,3467
67,-36,2,2,3567
67,-37,1,1,3667
67,-38,6,6,3767
67,-39,6,6,3867
67,-40,5,5,3967
67,-41,5,5,4067
67,-42,5,5,4167
67,-43,9,9,4267
67,-44,5,5,4367
67,-45,5,5,4467
67,-46,4,4,4567
67,-47,6,6,4667
67,-48,5,5,4767
67,-49,4,4,4867
67,-50,5,5,4967
67,-51,5,4,5067
67,-52,4,4,5167
67,-53,5,5,5267
67,-54,4,4,5367
67,-55,5,5,5467
67,-56,5,5,5567
67,-57,6,6,5667
67,-58,6,6,5767
67,-59,7,5,5867
67,-60,7,7,5967
67,-61,5,4,6067
67,-62,5,5,6167
67,-63,3,3,6267
67,-64,4,4,6367
67,-65,2,2,6467
67,-66,3,3,6567
67,-67,3,3,6667
67,-68,3,3,6767
67,-69,3,3,6867
67,-70,2,2,6967
68,-29,1,1,2868
68,-30,2,2,2968
68,-31,3,3,3068
68,-32,2,2,3168
68,-33,2,2,3268
68,-34,3,3,3368
68,-35,2,2,3468
68,-36,3,3,3568
68,-37,4,4,3668
68,-38,7,7,3768
68,-39,8,8,3868
68,-40,4,4,3968
68,-41,6,6,4068
68,-42,6,6,4168
68,-43,8,8,4268
68,-44,6,6,4368
68,-45,7,7,4468
68,-46,4,4,4568
68,-47,4,4,4668
68,-48,5,5,4768
68,-49,5,5,4868
68,-50,4,4,4968
68,-51,3,3,5068
68,-52,4,4,5168
68,-53,3,3,5268
68,-54,3,3,5368
68,-55,5,5,5468
68,-56,5,5,5568
68,-57,6,6,5668
68,-58,6,6,5768
68,-59,7,6,5868
68,-60,6,6,5968
68,-61,4,4,6068
68,-62,8,8,6168
68,-63,3,3,6268
68,-64,3,3,6368
68,-65,3,3,6468
68,-66,3,3,6568
68,-67,2,2,6668
68,-68,4,4,6768
68,-69,2,2,6868
68,-70,2,2,6968
68,-71,2,2,7068
69,-30,2,2,2969
69,-31,2,1,3069
69,-32,2,2,3169
69,-33,3,3,3269
