x,y,name
51,-36,3551
51,-37,3651
51,-38,3751
51,-39,3851
51,-40,3951
51,-41,4051
51,-42,4151
51,-43,4251
51,-44,4351
51,-45,4451
51,-46,4551
51,-47,4651
51,-48,4751
51,-49,4851
51,-50,4951
51,-51,5051
51,-52,5151
51,-53,5251
51,-54,5351
51,-55,5451
51,-56,5551
51,-57,5651
51,-58,5751
51,-59,5851
51,-60,5951
51,-61,6051
51,-62,6151
51,-63,6251
51,-64,6351
51,-65,6451
51,-66,6551
51,-67,6651
51,-68,6751
51,-69,6851
51,-70,6951
51,-71,7051
51,-72,7151
51,-73,7251
51,-74,7351
51,-75,7451
51,-76,7551
51,-77,7651
51,-78,7751
51,-79,7851
51,-80,7951
52,-25,2452
52,-26,2552
52,-27,2652
52,-28,2752
52,-29,2852
52,-30,2952
52,-31,3052
52,-32,3152
52,-33,3252
52,-34,3352
52,-35,3452
52,-36,3552
52,-37,3652
52,-38,3752
52,-39,3852
52,-40,3952
52,-41,4052
52,-42,4152
52,-43,4252
52,-44,4352
52,-45,4452
52,-46,4552
52,-47,4652
52,-48,4752
52,-49,4852
52,-50,4952
52,-51,5052
52,-52,5152
52,-53,5252
52,-54,5352
52,-55,5452
52,-56,5552
52,-57,5652
52,-58,5752
52,-59,5852
52,-60,5952
52,-61,6052
52,-62,6152
52,-63,6252
52,-64,6352
52,-65,6452
52,-66,6552
52,-67,6652
52,-68,6752
52,-69,6852
52,-70,6952
52,-71,7052
52,-72,7152
52,-73,7252
52,-74,7352
52,-75,7452
52,-76,7552
52,-77,7652
52,-78,7752
52,-79,7852
52,-80,7952
53,-25,2453
53,-26,2553
53,-27,2653
53,-28,2753
53,-29,2853
53,-30,2953
53,-31,3053
53,-32,3153
53,-33,3253
53,-34,3353
53,-35,3453
53,-36,3553
53,-37,3653
53,-38,3753
53,-39,3853
53,-40,3953
53,-41,4053
53,-42,4153
53,-43,4253
53,-44,4353
53,-45,4453
53,-46,4553
53,-47,4653
53,-48,4753
53,-49,4853
53,-50,4953
53,-51,5053
53,-52,5153
53,-53,5253
53,-54,5353
53,-55,5453
53,-56,5553
53,-57,5653
53,-58,5753
53,-59,5853
53,-60,5953
53,-61,6053
53,-62,6153
53,-63,6253
53,-64,6353
53,-65,6453
53,-66,6553
53,-67,6653
53,-68,6753
53,-69,6853
53,-70,6953
53,-71,7053
53,-72,7153
53,-73,7253
53,-74,7353
53,-75,7453
53,-76,7553
53,-77,7653
53,-78,7753
53,-79,7853
53,-80,7953
54,-25,2454
54,-26,2554
54,-27,2654
54,-28,2754
54,-29,2854
54,-30,2954
54,-31,3054
54,-32,3154
54,-33,3254
54,-34,3354
54,-35,3454
54,-36,3554
54,-37,3654
54,-38,3754
54,-39,3854
54,-40,3954
54,-41,4054
54,-42,4154
54,-43,4254
54,-44,4354
54,-45,4454
54,-46,4554
54,-47,4654
54,-48,4754
54,-49,4854
54,-50,4954
54,-51,5054
54,-52,5154
54,-53,5254
54,-54,5354
54,-55,5454
54,-56,5554
54,-57,5654
54,-58,5754
54,-59,5854
54,-60,5954
54,-61,6054
54,-62,6154
54,-63,6254
54,-64,6354
54,-65,6454
54,-66,6554
54,-67,6654
54,-68,6754
54,-69,6854
54,-70,6954
54,-71,7054
54,-72,7154
54,-73,7254
54,-74,7354
54,-75,7454
54,-76,7554
54,-77,7654
54,-78,7754
54,-79,7854
54,-80,7954
55,-25,2455
55,-26,2555
55,-27,2655
55,-28,2755
55,-29,2855
55,-30,2955
55,-31,3055
55,-32,3155
55,-33,3255
55,-34,3355
55,-35,3455
55,-36,3555
55,-37,3655
55,-38,3755
55,-39,3855
55,-40,3955
55,-41,4055
55,-42,4155
55,-43,4255
55,-44,4355
55,-45,4455
55,-46,4555
55,-47,4655
55,-48,4755
55,-49,4855
55,-50,4955
55,-51,5055
55,-52,5155
55,-53,5255
55,-54,5355
55,-55,5455
55,-56,5555
55,-57,5655
55,-58,5755
55,-59,5855
55,-60,5955
55,-61,6055
55,-62,6155
55,-63,6255
55,-64,6355
55,-65,6455
55,-66,6555
55,-67,6655
55,-68,6755
55,-69,6855
55,-70,6955
55,-71,7055
55,-72,7155
55,-73,7255
55,-74,7355
55,-75,7455
55,-76,7555
55,-77,7655
55,-78,7755
55,-79,7855
55,-80,7955
56,-25,2456
56,-26,2556
56,-27,2656
